"","lon","lat","Dataset","Loc_ID","Area_km","S","N","min_DBH_cm","GPP","ET","ANN_T","WARM_T","ISO_T","MIN_P","P_SEAS","ALT_DIF","ELONG","ISL_LS","ISL_ST","ISL_DIS","HABITAT","REALM","REALM_PK","DAT_TYPE","Source"
"258",-60.205,-2.625,"CoelhodeSouza_Amazon","JAC-02",0.05,205,3440,10,23886,11861.5,27.1,27.8,82,319,35,65,5,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"259",-66.175,-4.665,"CoelhodeSouza_Amazon","JAM-01",0.04,431,3118,10,27538,11718.3330078125,26.2,26.5,82,338,37,32,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"260",-77.625,-1.075,"CoelhodeSouza_Amazon","JAS-02",0.01,274,1162,10,30207,12342.8330078125,23.8,24.2,88,682,23,79,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"261",-77.615,-1.085,"CoelhodeSouza_Amazon","JAS-03",0.01,267,909,10,29953,12403.75,23.8,24.2,88,678,23,46,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"262",-77.615,-1.075,"CoelhodeSouza_Amazon","JAS-04",0.01,231,996,10,30197,12291.5,23.8,24.2,89,681,23,55,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"263",-77.625,-1.065,"CoelhodeSouza_Amazon","JAS-05",0.01,193,703,10,30031,12277.25,23.9,24.3,89,688,22,59,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"264",-77.605,-1.065,"CoelhodeSouza_Amazon","JAS-10",0.001,59,76,10,30220,12477.5830078125,24,24.4,88,677,22,36,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"265",-47.705,-1.145,"CoelhodeSouza_Amazon","JBU-01",0.01,144,528,10,23897,12308.25,26.5,27,84,131,70,29,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"266",-73.755,-4.905,"CoelhodeSouza_Amazon","JEN-01",0.001,52,71,10,29191,13247,26.9,27.2,83,457,20,18,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"267",-73.625,-4.885,"CoelhodeSouza_Amazon","JEN-11",0.01,254,680,10,28595,12637,26.7,27,82,457,21,17,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"268",-73.625,-4.905,"CoelhodeSouza_Amazon","JEN-12",0.01,134,798,10,28547,12892.0830078125,26.8,27.1,82,459,21,21,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
"269",-73.545,-4.925,"CoelhodeSouza_Amazon","JEN-13",0.01,192,680,10,27391,12129.9169921875,26.7,27.1,82,458,22,37,1,"mainland","mainland","mainland","Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot","Coelho de Souza et al. (2016) Evolutionary heritage influences Amazon tree ecology. Proc R Soc B 283: 20161587."
